"C14ID","C14Age","C14SD","LabCode","Material","SiteID","Latitude","Longitude","Country"
20813,4760,95,"K-6300","bone","S8203",55.6045,11.5883,"Denmark"
20820,3995,65,"AAR-2437.1","plant macrofossils","S4118",55.05,14.88,"Denmark"
20821,4170,70,"AAR-2437.2","plant macrofossils","S4118",55.05,14.88,"Denmark"
20822,4245,60,"AAR-2438.1","plant macrofossils","S4118",55.05,14.88,"Denmark"
20823,5250,90,"AAR-2438.2","plant macrofossils","S4118",55.05,14.88,"Denmark"
20826,5140,100,"K-6303","bone","S8209",55.749,12.261,"Denmark"
20827,4150,100,"K-2118","charcoal","S8210",55.4702,8.51881,"Denmark"
20830,4570,150,"Ka-6452","food residue","S8212",55.5614,11.5098,"Denmark"
20831,3135,55,"AAR-6115","charcoal","S8213",56.5386,8.79963,"Denmark"
20832,3660,50,"AAR-6113","charcoal","S8213",56.5386,8.79963,"Denmark"
20833,3975,55,"AAR-6114","charcoal","S8213",56.5386,8.79963,"Denmark"
20834,4150,100,"K-1582","charcoal","S8214",55.5663,9.40592,"Denmark"
20835,4100,100,"K-1932","bone","S4564",56.7422,9.42611,"Denmark"
20836,4160,100,"K-1983","bone","S4564",56.7422,9.42611,"Denmark"
20837,4290,100,"K-1930","bone","S4564",56.7422,9.42611,"Denmark"
20838,4350,100,"K-1931","bone","S4564",56.7422,9.42611,"Denmark"
20839,4450,100,"K-1982","charcoal","S4564",56.7422,9.42611,"Denmark"
20841,4390,100,"K-2128","NULL","S8216",55.623,12.1387,"Denmark"
20842,4460,100,"K-2127","NULL","S8216",55.623,12.1387,"Denmark"
20843,4650,55,"AAR-5006","bone","S8217",56.7368,10.1489,"Denmark"
20845,4925,55,"AAR-5005","bone","S8217",56.7368,10.1489,"Denmark"
20846,4945,45,"AAR-5386","charcoal","S8217",56.7368,10.1489,"Denmark"
20848,4955,60,"AAR-5004","bone","S8217",56.7368,10.1489,"Denmark"
20854,5500,70,"K-3920","bone","S4099",56.0358,9.65489,"Denmark"
20855,5540,65,"K-3921","bone","S4099",56.0358,9.65489,"Denmark"
20856,3920,85,"K-4023","charcoal","S8219",56.9555,9.77631,"Denmark"
20857,3760,60,"K-2751","charcoal","S8220",55.6299,9.08239,"Denmark"
20862,4040,100,"K-1569","charcoal","S8224",56.4193,9.03985,"Denmark"
20863,4110,100,"K-2427","charcoal","S8224",56.4193,9.03985,"Denmark"
20864,4180,100,"K-2425","charcoal","S8224",56.4193,9.03985,"Denmark"
20865,4210,100,"K-1574","charcoal","S8224",56.4193,9.03985,"Denmark"
20866,4220,100,"K-2426","charcoal","S8224",56.4193,9.03985,"Denmark"
20867,4230,100,"K-1572","charcoal","S8224",56.4193,9.03985,"Denmark"
20868,4270,100,"K-1573","charcoal","S8224",56.4193,9.03985,"Denmark"
20869,4300,100,"K-1571","charcoal","S8224",56.4193,9.03985,"Denmark"
20870,4430,100,"K-1567","charcoal","S8224",56.4193,9.03985,"Denmark"
20871,4560,100,"K-1568","charcoal","S8224",56.4193,9.03985,"Denmark"
20872,4570,100,"K-1566","charcoal","S8224",56.4193,9.03985,"Denmark"
20873,4660,100,"K-2424","charcoal","S8224",56.4193,9.03985,"Denmark"
20874,4740,100,"K-2428","charcoal","S8224",56.4193,9.03985,"Denmark"
20875,4980,100,"K-1570","charcoal","S8224",56.4193,9.03985,"Denmark"
20878,4010,85,"K-3628","charcoal","S8226",56.85,9.45,"Denmark"
20879,4030,85,"K-3627","charcoal","S8226",56.85,9.45,"Denmark"
20881,5090,65,"AAR-7418-2","bone","S7894",55.7719,11.3902,"Denmark"
20882,5983,38,"AAR-7417","bone","S7894",55.7719,11.3902,"Denmark"
20883,4590,120,"K-1165","wood","S8227",55.5937,11.543,"Denmark"
20889,4530,50,"K-3675","charcoal","S7929",55.5937,11.543,"Denmark"
20890,4590,60,"K-2846","peat","S7929",55.5937,11.543,"Denmark"
20895,4560,60,"K-2845","wood","S7929",55.5937,11.543,"Denmark"
20896,4570,60,"K-3746","bone","S7929",55.5937,11.543,"Denmark"
20900,3290,55,"AAR-6563","charcoal","S8231",56.9721,8.54367,"Denmark"
20902,3910,85,"K-4022","charcoal","S8232",55.0287,9.81034,"Denmark"
20904,6750,60,"AAR-6070","bone","S8234",55.792,11.6671,"Denmark"
20905,7145,60,"AAR-6069","bone","S8235",55.5719,11.4578,"Denmark"
20907,6350,55,"K-7118","charcoal","S8092",55.9309,12.5105,"Denmark"
20908,5720,65,"AAR-6067","NULL","S8236",55.1239,12.1259,"Denmark"
20914,4000,100,"K-1925","charcoal","S8239",56.5838,9.44336,"Denmark"
20915,4860,135,"K-3778","food residue","S8200",55.5898,11.5289,"Denmark"
20916,4820,38,"AAR-7196","bone","S8240",55.5898,11.5289,"Denmark"
20917,4250,85,"K-5362a","charcoal","S8241",57.5613,10.2626,"Denmark"
20918,4270,85,"K-5362","charcoal","S8241",57.5613,10.2626,"Denmark"
22214,6870,50,"AAR-4093","animal bone","S8353",54.9184,11.6885,"Denmark"
22215,7080,75,"K-4354","human bone","S8353",54.9184,11.6885,"Denmark"
22229,6263,36,"AAR-10246","human bone","S8394",55.3402,11.1848,"Denmark"
22232,6280,35,"AAR-8551","human bone","S8410",55.99,11.9592,"Denmark"
22244,6820,55,"AAR-9341","human bone","S8443",55.3953,9.83,"Denmark"
22245,6905,55,"AAR-9342","human bone","S8443",55.3953,9.83,"Denmark"
22272,4575,35,"Poz-22588","bone","S9047",56.8796,9.21684,"Denmark"
22273,5010,35,"Poz-22589","NULL","S9047",56.8796,9.21684,"Denmark"
22280,5265,60,"AAR-2654","animal bone","S8909",55.59,10.33,"Denmark"
22281,5270,80,"AAR-5961","animal bone","S8909",55.59,10.33,"Denmark"
22282,5300,55,"AAR-5970","animal bone","S8909",55.59,10.33,"Denmark"
22283,5310,65,"AAR-5968","animal bone","S8909",55.59,10.33,"Denmark"
22284,5340,75,"AAR-2656","animal bone","S8909",55.59,10.33,"Denmark"
22285,5350,60,"AAR-2655","animal bone","S8909",55.59,10.33,"Denmark"
22286,5375,50,"AAR-5969","animal bone","S8909",55.59,10.33,"Denmark"
22287,5430,70,"AAR-2653","animal bone","S8909",55.59,10.33,"Denmark"
22288,5555,45,"AAR-5960","animal bone","S8909",55.59,10.33,"Denmark"
22289,5565,50,"AAR-5963","animal bone","S8909",55.59,10.33,"Denmark"
22290,5620,65,"AAR-5962","animal bone","S8909",55.59,10.33,"Denmark"
22291,5640,80,"AAR-2652","animal bone","S8909",55.59,10.33,"Denmark"
22292,5650,60,"AAR-5964","animal bone","S8909",55.59,10.33,"Denmark"
22293,5685,50,"AAR-5966","animal bone","S8909",55.59,10.33,"Denmark"
22294,6225,55,"AAR-5967","human bone","S8909",55.59,10.33,"Denmark"
22601,4510,90,"K-2279","NULL","S7929",55.5937,11.543,"Denmark"
22639,6130,75,"K-5621","charcoal","S4379",55.3447,11.1217,"Denmark"
22640,6370,75,"K-5622","charcoal","S4379",55.3447,11.1217,"Denmark"
22641,6430,100,"K-5344","charcoal","S4379",55.3447,11.1217,"Denmark"
22645,3560,85,"K-5787","charcoal","S8885",56.4946,10.746,"Denmark"
22667,4900,40,"POZ-28068","plant macrofossils","S9102",57.7278,10.5391,"Denmark"
22713,4823,35,"AAR-8515","food residue","S9109",56.2983,10.2283,"Denmark"
22722,4790,40,"Poz-26157","NULL","S8026",56.5751,9.05061,"Denmark"
22771,4975,55,"AAR-9225","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
22772,5190,90,"AAR-8542","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
22773,5075,50,"AAR-9227","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
22774,5120,49,"AAR-8550","plant macrofossils","S9128",56.2218,10.1645,"Denmark"
22783,5890,55,"AAR-7410-2","NULL","S8055",55.75,12.02,"Denmark"
22818,5910,75,"K-5640","wood","S8905",54.8997,10.4175,"Denmark"
22819,6170,85,"K-6040","bone","S8905",54.8997,10.4175,"Denmark"
22820,6270,80,"K-6682","wood","S8905",54.8997,10.4175,"Denmark"
22821,6290,75,"K-6681","wood","S8905",54.8997,10.4175,"Denmark"
22846,4830,65,"K-4476","plant macrofossils","S8084",56.144,8.46961,"Denmark"
22847,4930,65,"K-4477","plant macrofossils","S8084",56.144,8.46961,"Denmark"
22848,4940,65,"K-4478","plant macrofossils","S8084",56.144,8.46961,"Denmark"
22849,4980,70,"K-2889","wood","S8084",56.144,8.46961,"Denmark"
23033,4770,85,"K-4770","NULL","S9154",56.0865,12.3716,"Denmark"
23034,4960,90,"K-4771","NULL","S9154",56.0865,12.3716,"Denmark"
23046,3815,55,"AAR-4517","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
23047,3885,45,"AAR-4516","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
23048,3890,50,"AAR-4518","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
23049,3890,45,"AAR-4515","plant macrofossils","S8891",56.5803,9.2359,"Denmark"
23057,4890,90,"KIA-36139","plant macrofossils","S9162",55.9969,12.2864,"Denmark"
23058,4965,35,"KIA-36142","charcoal","S9162",55.9969,12.2864,"Denmark"
23074,4700,35,"Poz-22575","bone","S8217",56.7368,10.1489,"Denmark"
23075,4775,35,"Poz-22576","NULL","S8217",56.7368,10.1489,"Denmark"
23076,5020,60,"Poz-22578","bone","S8217",56.7368,10.1489,"Denmark"
